Reactants,Products
CCCCCC/C=C/C(=O)O,CCCCCC/C=C/CO
c1ccc2c(c1)CCCC2,c1ccc2ccccc2c1
CC=CCCCCCCCCCC(=O)O,CCCCCCCCCCC=CC(=O)O
COC1=CC=CC=CC1,COC1C=CC=CC=C1
CCCCCc1ccc(O)cc1,CCCCCC1CCC(O)CC1
C#CC(C)(O)C=CC(C)CC,C=CC(C)(O)C=CC(C)CC
CC1CC=C(C(=O)O)CC1,CC1=CCC(C(=O)O)CC1
COc1cc(SC#N)ccc1O,COc1cc(SC)ccc1O
CC(C)(C)C1CCCC(N)C1,CC(C)(C)c1cccc(N)c1
O=C(O)C=Cc1ccccc1,O=C(O)C#Cc1ccccc1
CC1(C)COC(=O)C1=O,CC1(C)COC(=O)C1O
COC(=O)CCCCC=O,O=CCCCCC(=O)O
O=C(NCCO)c1cnccn1,O=C(NCCO)C1CNCCN1
CC(=O)C1=CCN(C)CC1,CC(=O)C1=CCNCC1
C=CCNC(=S)NCC=C,C=CCN=C=NCC=C
C=CCCCCCCCCCC,C#CCCCCCCCCCC
C=C(C)C(=O)N=C=O.CN,C=C(C)C(=O)NC(=O)NC
OCc1cccc2cccnc12,OCc1cccc2c1NCCC2
CCCCCCCCCCCCCO,CCCCCCCCCCCCO
CC1CC(=O)CC(=O)C1.N,CC1CC(=O)C=C(N)C1
c1ccc(C2CO2)cc1,OCCc1ccccc1
CCCCC(=O)CCC(C)=O,CCCCC(=O)CCC(C)O
Nc1ccc2c(c1)CCC2,c1ccc2c(c1)CCC2
CC1(O)Cc2ccccc2C1,CC1=Cc2ccccc2C1
CCCCCCC(C)NC(C)=O,CCCCCCC(C)NCC
C#CCO.C=C(C)C(=O)O,C#CCOC(=O)C(=C)C
CCC1CCNc2cc(OC)ccc21,CCC1CCNc2cc(O)ccc21
O=C(O)CC(CS)C(=O)O,O=C1CC(C(=O)O)CS1
O=C(O)c1cccc2occc12,O=C(O)c1cccc2c1CCO2
COc1cccc2c1OCC=C2,COc1cccc2c1OCCC2
C#CCC(CC#C)C(=O)OC,C#CCC(CC#C)C(=O)O
